num,id,created_at,text,fav,RT,,time,time,,,,RT/fav,,,,,,,,,
1,1.25549E+18,2020/4/29 13:12,私はこの機に学校を外国に合わせて9月はじまりにするという意見に賛成なんですが（留学とかスムーズになりそう）どう思いますか？母数ふやしたい,12,2,,13:12,43950.55007,0.550069444,13.20166667,,0.166666667,0.166666667,,,,,,,,
2,1.25546E+18,2020/4/29 11:52,ちなみにのっくんは私より進捗がやばいのではやく課題をやってください,12,0,,11:52,43950.49455,0.494548611,11.86916667,,0,1,,,,,,,,
3,1.25546E+18,2020/4/29 11:48,物理のレポートが終わっていませんプログラミングも完全に終わっていません数学の予習が終わっていませんおわり,3,0,,11:48,43950.49234,0.492337963,11.81611111,,0,1,,,,,,,,
4,1.25546E+18,2020/4/29 11:47,そういえば実験...直流電源も電圧計も電流計も家にないぞブレッドボードで回路組んで頭の中で実験完了するしかないのか...?もしかして:レポートを書かなくていい,14,0,,11:47,43950.49108,0.491076389,11.78583333,,0,1,,,,,,,,
5,1.25546E+18,2020/4/29 11:38,英語で話すとストレス発散になっていいかもしれない自分の感情をダイレクトに表現できる,3,0,,11:38,43950.48491,0.484907407,11.63777778,,0,1,,,,,,,,
6,1.25546E+18,2020/4/29 11:35,ARで自作のスプラのブキモデルを現実に投影する,11,0,,11:35,43950.48291,0.482905093,11.58972222,,0,1,,,,,,,,
7,1.25546E+18,2020/4/29 11:32,あ、リプした通り今日の23:59までです主な理由としては物理のレポートの進捗がnull https://t.co/KOqi2v72gw,20,0,,11:32,43950.48108,0.481076389,11.54583333,,0,1,,,,,,,,
8,1.25509E+18,2020/4/28 11:00,スパのプロモ映像を実際のゲーム画面に合成してみました正面のモニターです#3DCG #Splatoon2 #blender #motiontracking https://t.co/gRcmPTxdAj,513,71,,11:00,43949.45833,0.458333333,11,,0.138401559,0.138401559,,,,,,,,
9,1.25508E+18,2020/4/28 10:41,最初にexcelに落とし込んだ時こんな感じでしたまあ萎えましたよねもう全部英語でツイートしようかなって思いましたよね https://t.co/G98LPm7jJs,5,0,,10:41,43949.44545,0.445451389,10.69083333,,0,1,,,,,,,,
10,1.25508E+18,2020/4/28 10:29,文字化けは直ったけどfav数が一定数以上になると所得できてないたぶん https://t.co/BVLOKxfKJC,12,0,,10:29,43949.43697,0.436967593,10.48722222,,0,1,,,,,,,,
11,1.25506E+18,2020/4/28 8:52,なんとかこーひー.つくった. https://t.co/DFIdmquKzu,37,0,,8:52,43949.36964,0.369641204,8.871388889,,0,1,,,,,,,,
12,1.25501E+18,2020/4/28 5:28,csv文字化けしまくる...,8,0,,5:28,43949.22817,0.228171296,5.476111111,,0,1,,,,,,,,
13,1.25501E+18,2020/4/28 5:28,ディグダたりねぇ...,5,0,,5:28,43949.22784,0.227835648,5.468055556,,0,1,,,,,,,,
14,1.25496E+18,2020/4/28 2:41,数学好きなのに苦手やって悲しかったんやけど真面目に勉強したら偏差値70超えたのでやっぱり勉強は大事だなぁと,31,0,,2:41,43949.11182,0.11181713,2.683611111,,0,1,,,,,,,,
15,1.25476E+18,2020/4/27 12:59,まだまだ技術がたりねぇ...努力もたりねぇ...,10,0,,12:59,43948.54105,0.541053241,12.98527778,,0,1,,,,,,,,
16,1.25475E+18,2020/4/27 12:49,?今日したこと・Twitter developer toolにてTwitter API 所得・*act_analyze*という名前のappの実装（実際の機能は未実装）・とりあえずコマンドプロンプトにてPythonプログラムの… https://t.co/8kBHYkMQso,26,1,,12:49,43948.53404,0.534039352,12.81694444,,0.038461538,0.038461538,,,,,,,,
17,1.25475E+18,2020/4/27 12:38,今日ネットサーフィン4時間くらいしたな...,10,0,,12:38,43948.52688,0.526875,12.645,,0,1,,,,,,,,
18,1.25473E+18,2020/4/27 11:16,Tweet from Python! ツイートできてる？,32,0,,11:16,43948.46949,0.469490741,11.26777778,,0,1,,相関係数：,0.950389768,,,,,
19,1.25427E+18,2020/4/26 4:49,GitHubと格闘中,10,0,,4:49,43947.20082,0.200821759,4.819722222,,0,1,,ツイートのRTの割合：,21%,,,,,
20,1.25423E+18,2020/4/26 2:21,一億年ぶりにガチマッチをやります,25,0,,2:21,43947.09848,0.098483796,2.363611111,,0,1,,,,,,,,
21,1.25405E+18,2020/4/25 14:22,小学6年生くらいのときにRubyを少しだけ触ったことがあって（理解皆無）、プログラムってかっこええすげええってなったんやが高校なってプログラムを勉強してるん感慨深い,31,0,,14:22,43946.59911,0.599108796,14.37861111,,0,1,,考察1,,,,,,
22,1.25404E+18,2020/4/25 13:25,プログラム一生うごかねえええって思ってたらインデントミスってた...Pythonてif文{}じゃないもんな...?,15,0,,13:25,43946.55941,0.559409722,13.42583333,,0,1,,・当然のことながらRTが多いとfavも多い。相関係数の値がとても高いことからも自明である。,,,,,,
23,1.25404E+18,2020/4/25 13:23,CODEPREPでPython演習 基本操作編を完了しました! https://t.co/2evVqnAh4a #codeprep #python,6,0,,13:23,43946.55765,0.557650463,13.38361111,,0,1,,・値が突出している点（赤点）は必然的にRT数が多くなる企画だったが、全体的にみて直線近似できるほどの誤差であった。,,,,,,
